"date","year","day","yday","month","temp"
"1960-01-01",1960,1,1,1,2.48784417103941
"1960-01-02",1960,2,2,1,12.5581185008798
"1960-01-03",1960,3,3,1,9.32321444919553
"1960-01-04",1960,4,4,1,14.4793842057213
"1960-01-05",1960,5,5,1,15.9395936854454
"1960-01-06",1960,6,6,1,17.6091756411678
"1960-01-07",1960,7,7,1,15.2107597336942
"1960-01-08",1960,8,8,1,4.15735398170335
"1960-01-09",1960,9,9,1,9.60671856127022
"1960-01-10",1960,10,10,1,19.7633756602626
"1960-01-11",1960,11,11,1,10.6375178230965
"1960-01-12",1960,12,12,1,9.80622376605096
"1960-01-13",1960,13,13,1,0.39726578234527
"1960-01-14",1960,14,14,1,17.4608481283038
"1960-01-15",1960,15,15,1,8.63227254600266
"1960-01-16",1960,16,16,1,4.03853664611496
"1960-01-17",1960,17,17,1,5.68475809454776
"1960-01-18",1960,18,18,1,5.33259063327196
"1960-01-19",1960,19,19,1,4.7286604835268
"1960-01-20",1960,20,20,1,15.2755072191846
"1960-01-21",1960,21,21,1,12.3557654238837
"1960-01-22",1960,22,22,1,17.5208865965294
"1960-01-23",1960,23,23,1,11.1438264659594
"1960-01-24",1960,24,24,1,13.1521633604976
"1960-01-25",1960,25,25,1,4.91092663723924
"1960-01-26",1960,26,26,1,14.5494023327656
"1960-01-27",1960,27,27,1,6.74226672947309
"1960-01-28",1960,28,28,1,14.2414116274179
"1960-01-29",1960,29,29,1,8.68755490587262
"1960-01-30",1960,30,30,1,8.61722577713311
"1960-01-31",1960,31,31,1,9.94972753665251
"1960-02-01",1960,1,32,2,9.35741766780319
"1960-02-02",1960,2,33,2,8.55871493519595
"1960-02-03",1960,3,34,2,13.8168730122324
"1960-02-04",1960,4,35,2,11.1535224947786
"1960-02-05",1960,5,36,2,4.33571096165935
"1960-02-06",1960,6,37,2,11.806026409245
"1960-02-07",1960,7,38,2,1.95174095600975
"1960-02-08",1960,8,39,2,10.8732745214603
"1960-02-09",1960,9,40,2,8.33416389508977
"1960-02-10",1960,10,41,2,14.6012946756556
"1960-02-11",1960,11,42,2,16.3117429005734
